,run,epoch,f1-score
0,0,0,0.8028023727134403
1,0,1,0.7941121768472514
2,0,2,0.7869848230205516
3,0,3,0.779918924992752
4,0,4,0.7816937119675458
5,1,0,0.8028023727134403
6,1,1,0.7941121768472514
7,1,2,0.7869848230205516
8,1,3,0.779918924992752
9,1,4,0.7816937119675458
10,2,0,0.8028023727134403
11,2,1,0.7941121768472514
12,2,2,0.7869848230205516
13,2,3,0.779918924992752
14,2,4,0.7816937119675458
15,3,0,0.8028023727134403
16,3,1,0.7941121768472514
17,3,2,0.7869848230205516
18,3,3,0.779918924992752
19,3,4,0.7816937119675458
20,4,0,0.8028023727134403
21,4,1,0.7941121768472514
22,4,2,0.7869848230205516
23,4,3,0.779918924992752
24,4,4,0.7816937119675458
